#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10
#   TIMESTEP                     TIME                  Mass H0                  Mass H1                  Mass N0                  Mass N1                  Mass N2                  Mass N3                  Mass N4                  Mass N5
          91   3.4463571090205936e-09   1.1395684066553820e-42   2.7800453241615637e-46   1.1398464111877977e-72   1.1398464111877977e-72   1.1398464111877977e-72   1.1398464111877977e-72   1.1398464111877977e-72   1.1398464111877977e-72
          92   3.5455069628010339e-09   1.1395684066553864e-42   2.7800453241618421e-46   1.1398464111878033e-72   1.1398464111878033e-72   1.1398464111878033e-72   1.1398464111878033e-72   1.1398464111878033e-72   1.1398464111878033e-72
          93   3.6452239158381558e-09   1.1395684066553825e-42   2.7800453241619032e-46   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72   1.1398464111878022e-72
          94   3.7455060256020148e-09   1.1395684066553842e-42   2.7800453241614863e-46   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72
          95   3.8463488218240964e-09   1.1395684066553826e-42   2.7800453241616002e-46   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72   1.1398464111878017e-72
          96   3.9477390885705530e-09   1.1395684066553825e-42   2.7800453241616092e-46   1.1398464111877950e-72   1.1398464111877950e-72   1.1398464111877950e-72   1.1398464111877950e-72   1.1398464111877950e-72   1.1398464111877950e-72
          97   4.0496656466835202e-09   1.1395684066553806e-42   2.7800453241615123e-46   1.1398464111878020e-72   1.1398464111878020e-72   1.1398464111878020e-72   1.1398464111878020e-72   1.1398464111878020e-72   1.1398464111878020e-72
          98   4.1521191870133799e-09   1.1395684066553812e-42   2.7800453241617538e-46   1.1398464111878020e-72   1.1398464111878020e-72   1.1398464111878020e-72   1.1398464111878020e-72   1.1398464111878020e-72   1.1398464111878020e-72
          99   4.2550911731438733e-09   1.1395684066553857e-42   2.7800453241619499e-46   1.1398464111877972e-72   1.1398464111877972e-72   1.1398464111877972e-72   1.1398464111877972e-72   1.1398464111877972e-72   1.1398464111877972e-72
         100   4.3585736342053759e-09   1.1395684066553853e-42   2.7800453241615139e-46   1.1398464111877934e-72   1.1398464111877934e-72   1.1398464111877934e-72   1.1398464111877934e-72   1.1398464111877934e-72   1.1398464111877934e-72
         101   4.4625592939578461e-09   1.1395684066553882e-42   2.7800453241615147e-46   1.1398464111877962e-72   1.1398464111877962e-72   1.1398464111877962e-72   1.1398464111877962e-72   1.1398464111877962e-72   1.1398464111877962e-72
